No.,Title,Original airdate,Guest(s),Ingredient(s),Contestants,Judges,Dish,Winner,Guest A,Guest B,Judge A,Judge B,Judge C,Season
92,"""Ring of Fire""","May 26, 2016","Jeff Mauro, Anthony Anderson",mahi-mahi,Adrianne Calvo X  Ben Thomas,"Michael Lomonaco, Tracy Weiss, Brian Duffy",steak au poivre,Bobby Flay,Jeff Mauro, Anthony Anderson,Michael Lomonaco, Tracy Weiss, Brian Duffy,8
93,"""Fingerlings Crossed!""","June 2, 2016","Geoffrey Zakarian, Diane Guerrero",fingerling potato,Philippe Corbet X  George Rodrigues,"Roberto Santibáñez, Paulette Goto, Brian Mazza",chili,George Rodrigues[11],Geoffrey Zakarian, Diane Guerrero,Roberto Santibáñez, Paulette Goto, Brian Mazza,8
94,"""A Little Bit Country""","June 5, 2016","Alex Guarnaschelli, Trisha Yearwood",bay scallop,Lee Frank X  Joe Wolfson,"Hugh Mangum, Elizabeth Karmel, Marc Murphy",country fried steak,Bobby Flay,Alex Guarnaschelli, Trisha Yearwood,Hugh Mangum, Elizabeth Karmel, Marc Murphy,8
95,"""Fancy Meeting You Here""","June 12, 2016",Sunny Anderson,prosciutto,Anne Burrell X  Scott Conant,"Ken Oringer, Susan Ungaro, Jacques Torres",cheesecake,Anne Burrell,Sunny Anderson,,Ken Oringer, Susan Ungaro, Jacques Torres,9
96,"""Breaking Food News""","June 19, 2016","Michael Symon, Katie Couric",mackerel,Michael Ginor X  Alyssa Gorelick,"Michael Psilakis, Leah Cohen, George Mendes",lamb gyro,Bobby Flay,Michael Symon, Katie Couric,Michael Psilakis, Leah Cohen, George Mendes,9
97,"""Red, White, and BBQ""","June 26, 2016","Katie Lee, Elvis Duran",chicken wings,Brother Luck X  Matt Bolus,"Raquel Pelzel, Corby Kummer, Elizabeth Karmel",pulled pork sliders,Brother Luck[12],Katie Lee, Elvis Duran,Raquel Pelzel, Corby Kummer, Elizabeth Karmel,9
98,"""Green with Envy""","July 7, 2016","Scott Conant, Perrey Reeves",silken tofu,Pankaj Pradhan X  Vikki Krinsky,"Michael Schulson, Keri Glassman, Sal Scognamillo",stuffed peppers,Bobby Flay,Scott Conant, Perrey Reeves,Michael Schulson, Keri Glassman, Sal Scognamillo,9
99,"""Dancing With the Devil""","July 14, 2016","Lance Bass, Michael Voltaggio",veal cutlet,Robbie Jester X  James Laird,"Frank Pellegrino, Tricia Williams, Stratis Morfogen",shrimp scampi,Robbie Jester,Lance Bass, Michael Voltaggio,Frank Pellegrino, Tricia Williams, Stratis Morfogen,9
100,"""Ladies Night""","July 21, 2016","Katie Lee, Laura Vitale",romanesco,Eric Levine X  Jennifer Janinski,"Raquel Pelzel, Richie Natar, Kristin Sollene",tortelloni,Bobby Flay,Katie Lee, Laura Vitale,Raquel Pelzel, Richie Natar, Kristin Sollene,9
101,"""Stop Drop and Roll""","July 28, 2016","Geoffrey Zakarian, Donny Deutsch",cannellini beans,Kevin Naderi X  Mark Vecchitto,"Maneet Chauhan, Franklin Becker, Dorothy Cann Hamilton",stuffed cabbage rolls,Kevin Naderi,Geoffrey Zakarian, Donny Deutsch,Maneet Chauhan, Franklin Becker, Dorothy Cann Hamilton,9
102,"""So many obstacles""","August 4, 2016","Anne Burrell, Apolo Ohno",couscous,Michele Castelli X  Brian Miller,"Christian Petroni, Rosanna Scotto, Alex Garcia",meat pizza,Bobby Flay,Anne Burrell, Apolo Ohno,Christian Petroni, Rosanna Scotto, Alex Garcia,9
103,"""Who's Got This in the Bag""","August 11, 2016","Jet Tila, Debi Mazar",ground lamb,Mark Gaier X  Christopher Covelli,"Ed Brown, Candice Kumai, Vikas Khanna",fish en papillote,Bobby Flay,Jet Tila, Debi Mazar,Ed Brown, Candice Kumai, Vikas Khanna,9
104,"""Age is Just a Number""","August 18, 2016","Sunny Anderson, Kimberly Schlapman",blue cheese,Kevin Des Chenes X  Jenny Dorsey,"Cobi Levy, Anita Lo, Hugh Mangum",wonton soup,Jenny Dorsey,Sunny Anderson, Kimberly Schlapman,Cobi Levy, Anita Lo, Hugh Mangum,9
105,"""Get in the Zone""","August 25, 2016","Alex Guarnaschelli, Kenny Mayne",Yukon gold potatoes,Jeff Williams X  Kevin Templeton,"David Massoni, Lourdes Castro, Jason Debriere",chilaquiles,Bobby Flay,Alex Guarnaschelli, Kenny Mayne,David Massoni, Lourdes Castro, Jason Debriere,9
106,"""Bobby's DMV Appointment""","September 1, 2016",Curtis Stone; Haylie Duff,guanciale,Serge Pambo X  Todd Gray,"Michael Psilakis, Tracy Weiss, Hugh Mangum",soft-shell crab sandwich,Bobby Flay,Curtis Stone; Haylie Duff,,Michael Psilakis, Tracy Weiss, Hugh Mangum,9
107,"""Dark Horses Still Kick""","September 8, 2016","Geoffrey Zakarian, Debi Mazar",branzino,Ed Hardy X  Kunal Lamba,"Hari Nayak, Dorothy Cann Hamilton, Hung Huynh",chicken bánh mì,Bobby Flay,Geoffrey Zakarian, Debi Mazar,Hari Nayak, Dorothy Cann Hamilton, Hung Huynh,9
108,"""Comforts of Home""","September 22, 2016","Scott Conant, Bethenny Frankel",ground pork,Jackie Rothong X  Matteo Boffo,"Frank Prisinzano, Jody Adams, Salvatore Coppola",cannelloni,Bobby Flay,Scott Conant, Bethenny Frankel,Frank Prisinzano, Jody Adams, Salvatore Coppola,10
109,"""Shore Fire Strategy""","September 29, 2016","Anne Burrell, Mario Cantone",squab,Geoff Johnson X  Martin Rios,"Ed Brown, Clodagh McKenna, Craig Samuel",lobster thermidor,Bobby Flay,Anne Burrell, Mario Cantone,Ed Brown, Clodagh McKenna, Craig Samuel,10
110,"""Howdy Halloween""","October 6, 2016","Sunny Anderson, Laura Vitale",blood oranges,Katherine Clapner X  Joe Baker,"David Lebovitz, Nicole Friday, Zac Young",devil's food cake,Katherine Clapner,Sunny Anderson, Laura Vitale,David Lebovitz, Nicole Friday, Zac Young,10
111,"""Bobby-Bing Bobby-Boom!""","October 13, 2016","Anthony Carrino, John Colaneri, Alex Guarnaschelli",kalamata olives,Toni Sapienza X  Rodney Murillo,"Nick Defonte,[13] Kristin Sollenne, Dale Talde",meatball sandwich,Bobby Flay,Anthony Carrino," John Colaneri, Alex Guarnaschelli",Nick Defonte,[13] Kristin Sollenne, Dale Talde,10
112,"""Che-Sing Glory""","October 20, 2016","Geoffrey Zakarian, Michael Che",country ham,Tony Nguyen X  Andres Dangond,"Judy Joo, Ivan Orkin, Ivy Stark",ramen,Bobby Flay,Geoffrey Zakarian, Michael Che,Judy Joo, Ivan Orkin, Ivy Stark,10
113,"""Hold on for One More Flay""","October 27, 2016","Katie Lee, Carnie Wilson",butchery brioche,Jeremy Nolen X  Vijay Sadhu,"Aliya Leekong, Edi Frauneder, Julie Sahni",samosas,Vijay Sadhu[14],Katie Lee, Carnie Wilson,Aliya Leekong, Edi Frauneder, Julie Sahni,10
114,"""Surprise Surprise""","November 3, 2016","Curtis Stone, Sandra Lee",haddock,Pat Sheerin X  Katie Chin,"Michel Nischan, Anita Lo, Hung Huynh",pork fried rice,Bobby Flay,Curtis Stone, Sandra Lee,Michel Nischan, Anita Lo, Hung Huynh,10
115,"""Country Boys in the Big City""","November 10, 2016","Ted Allen, Anne Burrell",black beans,Mike Johnson X  Justin Gaines,"Jean Paul Bourgeois, Candice Kumai, Michael Psilakis",jambalaya,Bobby Flay,Ted Allen, Anne Burrell,Jean Paul Bourgeois, Candice Kumai, Michael Psilakis,10
116,"""Thanks But No Thanksgiving""","November 17, 2016","Martha Stewart, Scott Conant",butternut squash,Ed Cotton X  Omar Zerrei,"Madison Cowan, Marcie Turney, Felipe Donnelly",turkey cacciatore,Ed Cotton,Martha Stewart, Scott Conant,Madison Cowan, Marcie Turney, Felipe Donnelly,10
117,"""You've Got to be Kidding Me!""""","November 30, 2016","Carla Hall, Aubrey Anderson-Emmons, Quvenzhane Wallis",cheddar cheese,Chris Scott X  Line Pelletier,"Chris Ekpiken, Sabrina Richard, Taylor Moxey",chicken fingers,Bobby Flay,Carla Hall," Aubrey Anderson-Emmons, Quvenzhane Wallis",Chris Ekpiken, Sabrina Richard, Taylor Moxey,10
118,"""Back to School""","December 8, 2016","Ted Allen, Rowan Blanchard",strawberries,Zac Young X  Francois Payard,"Olivia Oshiro, David Pines, Elizabeth Oakes",Napoleon,Francois Payard,Ted Allen, Rowan Blanchard,Olivia Oshiro, David Pines, Elizabeth Oakes,10
119,"""Whiz Kids""","December 15, 2016","Gibson Boreli, Tyler Zager, Sunny Anderson",corn flakes,Brian Santos X  Claud Beltran,"Lauren Zilberman, Finn Skerlj, Emily Waters",beef quesadillas,Bobby Flay,Gibson Boreli," Tyler Zager, Sunny Anderson",Lauren Zilberman, Finn Skerlj, Emily Waters,10
120,"""Like Father Like Daughter""","December 22, 2016","Scott Conant, Aila Conant",bowtie pasta,Max Hardy X  Lee Knoeppel,"Hunter Zampa, Julep Knowlton, Tatiana Cicciarella",grilled cheese,Bobby Flay,Scott Conant, Aila Conant,Hunter Zampa, Julep Knowlton, Tatiana Cicciarella,10
121,"""All at Stake""","January 4, 2017","Amanda Freitag, Carla Hall",Canadian bacon,Todd Erickson X  Charles Beur,"Jeremy Spector, Michael Ferraro, Dorothy Cann Hamilton",salisbury steak,Todd Erickson,Amanda Freitag, Carla Hall,Jeremy Spector, Michael Ferraro, Dorothy Cann Hamilton,11
122,"""Better Late Than Never""","January 11, 2017","Giada De Laurentiis, Alex Guarnaschelli",parsnip,Melissa Mayer X  Jen Royle,"Jason DeBriere, Sara Gore, Ken Oringer",chicken flautas,Bobby Flay,Giada De Laurentiis, Alex Guarnaschelli,Jason DeBriere, Sara Gore, Ken Oringer,11
123,"""Bro-Down Showdown""","January 18, 2017","Michael Voltaggio, Bryan Voltaggio",sunchokes,Terence Feury X  Patrick Feury,"Jason Hicks, Raquel Pelzel, Michael Vignola",surf & turf,Bobby Flay,Michael Voltaggio, Bryan Voltaggio,Jason Hicks, Raquel Pelzel, Michael Vignola,11
124,"""Too Biggs to Fail""","January 25, 2017","Katie Lee, Jason Biggs",rock shrimp,David Vargas X  Sam Gorenstein,"Roberto Santibanez, Alison Roman, Ed McFarland",seafood burrito,Sam Gorenstein,Katie Lee, Jason Biggs,Roberto Santibanez, Alison Roman, Ed McFarland,11
125,"""The Grid Iron Chef""","February 1, 2017","Alex Guarnaschelli, Josh Capon",jalapeño,Lee Chizmar X  Todd Mark Miller,"Robbie Shoults, Katie Quinn, Michael Lomonaco",cheesesteak,Bobby Flay,Alex Guarnaschelli, Josh Capon,Robbie Shoults, Katie Quinn, Michael Lomonaco,11
126,"""She Loves Me ....Not""","February 8, 2017","Daphne Oz, Lara Spencer",red wine,Frank Otte X  Eric Adjepong,"Susan Ungaro, Glenn Harris, Angie Mar",eggs benedict,Bobby Flay,Daphne Oz, Lara Spencer,Susan Ungaro, Glenn Harris, Angie Mar,11
127,"""You Won't Like Him When He's Angry""","February 16, 2017","Kristin Cavallari, Geoffrey Zakarian",veal tenderloin,Daniel Angerer X  Jamie Knott,"Robyn Lawley, Chris ""C-Snacks"" Clarke, Tricia Williams",veggie burger,Bobby Flay,Kristin Cavallari, Geoffrey Zakarian,Robyn Lawley," Chris ""C-Snacks"" Clarke", Tricia Williams,11
128,"""Roll with the Punches""","February 23, 2017","Curtis Stone, Simon Majumdar",razor clams,Perry Chung X  Richard Mancini,"Hung Huynh, Pamela Morgan, Frank Prisinzano",crispy spring rolls,Perry Chung,Curtis Stone, Simon Majumdar,Hung Huynh, Pamela Morgan, Frank Prisinzano,11
129,"""Steak Me Home Tonight""","March 2, 2017","Anne Burrell, Chris D'Elia",peaches,Trish Tracey X  Daniel Cox,"Wylie Dufresne, Ariane Daguin, Alfred Portale",steak frites,Bobby Flay,Anne Burrell, Chris D'Elia,Wylie Dufresne, Ariane Daguin, Alfred Portale,11
130,"""Sweet but Sour""","March 9, 2017","Sunny Anderson, Katie Lee",white chocolate,Kym Delost X  Chris Teixeira,"Michael Laiskonis, Nicole Friday, Niles Noren",apple dumpling,Bobby Flay,Sunny Anderson, Katie Lee,Michael Laiskonis, Nicole Friday, Niles Noren,11
131,"""Thrown from the Throne""","March 16, 2017","Amanda Freitag, Simon Majumdar",heirloom carrots,Ian Bowden X  Danielle Duran,"Erik Ramirez, April Bloomfield, Joey Campanaro",veal piccata,Bobby Flay,Amanda Freitag, Simon Majumdar,Erik Ramirez, April Bloomfield, Joey Campanaro,11
132,"""I Thought We Were Friends""","March 23, 2017","Giada De Laurentiis, Scott Conant",red snapper,Vuong Loc X  Ian Alvarez,"Jason Wang, Robbie Shoults, Leah Cohen",chicken pho,Vuong Loc,Giada De Laurentiis, Scott Conant,Jason Wang, Robbie Shoults, Leah Cohen,11
133,"""Both Sides of the Coin""","March 30, 2017","Alex Guarnaschelli, Anne Burrell,",quail eggs,Jason Tom X  Admir Alibasic,"Michael Stillman, Brian Mazza, Harold Moore",sloppy joe,Bobby Flay,Alex Guarnaschelli," Anne Burrell,",Michael Stillman, Brian Mazza, Harold Moore,11
134,"""Iron Chef Redemption""","April 12, 2017","Ted Allen, Debi Mazar",sun-dried tomatoes,Todd Stein X  Paul Virant,"Susan Feniger, Billy Durnan, Alex Thermopoulos",brick chicken,Bobby Flay,Ted Allen, Debi Mazar,Susan Feniger, Billy Durnan, Alex Thermopoulos,12
135,"""Mazel Tov""","April 19, 2017","Michael Symon, Susan Lucci",broccoli rabe,Alex Reznik X  Colin Smith,"Lidia Bastianich, Noah Bernamoff, Olivia Culpo",matzo ball soup,Alex Reznik,Michael Symon, Susan Lucci,Lidia Bastianich, Noah Bernamoff, Olivia Culpo,12
136,"""Challah at Your Boy!""","May 3, 2017","Anne Burrell, Jay Pharoah",challah bread,Rene Rodriguez X  Michael Kramer,"Ivy Stark, Jeremy Jacobowirz, Lidia Bastianich",huevos rancheros,Rene Rodriguez,Anne Burrell, Jay Pharoah,Ivy Stark, Jeremy Jacobowirz, Lidia Bastianich,12
137,"""Tame in the Flame""","May 10, 2017","Scott Conant, Busy Philipps",duck confit,Ivana Raca X  Tom Wolfe,"Einat Admony, Lazarus Lynch, Anita Lo",branzino,Bobby Flay,Scott Conant, Busy Philipps,Einat Admony, Lazarus Lynch, Anita Lo,12
138,"""Inside Scoop""","May 17, 2017","Alex Guarnaschelli, Helene Yorke",top round of beef,Steven Oakley X  Bobby Hanson,"Madison Cowan, April Bloomfield, Jimmy Bradley",seafood corndogs,Steven Oakley,Alex Guarnaschelli, Helene Yorke,Madison Cowan, April Bloomfield, Jimmy Bradley,12
139,"""Open Grill Season""","May 24, 2017","Sunny Anderson, Gail Simmons",meyer lemon,Brandon Byrd X  Nicolay Adinaguev,"Michael Lomonaco, Jess Pryles, Robbie Shoults",carne asada,Bobby Flay,Sunny Anderson, Gail Simmons,Michael Lomonaco, Jess Pryles, Robbie Shoults,12
140,"""Friends in All Places""","May 31, 2017",Michael Symon,king crab,Jet Tila X  Alex Guarnaschelli,"Ed McFarland, Leah Cohen, Drew Neoporent",sole almondine,Alex Guarnaschelli,Michael Symon,,Ed McFarland, Leah Cohen, Drew Neoporent,12
141,"""The Next Food Network Star Is...""","June 7, 2017",Alton Brown,persimmons,Damaris Phillips X  Justin Warner,"Donal Brophy, Tricia Williams, Michael Psilakis",tuna noodle casserole,Damaris Phillips,Alton Brown,,Donal Brophy, Tricia Williams, Michael Psilakis,12
142,"""Deja Flay""","June 14, 2017",Scott Conant,grapefruit,Anne Burrell X  Marcus Samuelsson,"Sileshi Alifom, Sara Moulton, Michael Laiskonis",chicken doro wat,Marcus Samuelsson,Scott Conant,,Sileshi Alifom, Sara Moulton, Michael Laiskonis,12
143,"""BBF vs. Chopped""","June 22, 2017",Ted Allen,colossal shrimp,Amanda Freitag X  Marc Murphy,"Najmieh Batmanglij, April Bloomfield, Kristin Sollenne",fesenjān,Amanda Freitag,Ted Allen,,Najmieh Batmanglij, April Bloomfield, Kristin Sollenne,12
144,"""Ghosts of Bobby's Past""","June 29, 2017","Laura Prepon, Daphne Oz",filet mignon,Einat Admony X  Leia Gaccione,"Tom Birchard, Susan Ungaro, Alon Shaya",pork chops and applesauce,Bobby Flay,Laura Prepon, Daphne Oz,Tom Birchard, Susan Ungaro, Alon Shaya,12
145,"""Salty and Sweet""","July 6, 2017","Katie Lee, Carla Hall",Raisin,Bruno Feldeisen X  Michelle Gayer,"Paulette Goto, David Lebovitz, Nicole Friday",Banana cream pie,Bobby Flay,Katie Lee, Carla Hall,Paulette Goto, David Lebovitz, Nicole Friday,12
146,"""Record Breaking""","July 13, 2017","Josh Capon, Jaymee Sire",steamer clams,Joshua Bedford X  Jarad Gallagher,"Ed Schoenfeld, Maggie Nemser, Spencer Rubin",egg drop soup,Bobby Flay,Josh Capon, Jaymee Sire,Ed Schoenfeld, Maggie Nemser, Spencer Rubin,12
147,"""Sugar and Spice but not so nice""","July 20, 2017","Alton Brown, Adam Richman",Coffee Beans,Josh Johnson X  Dana Cree,"Samantha Seneviratne, Nils Noren, Raiza Costa",Brownie Sundae,Dana Cree,Alton Brown, Adam Richman,Samantha Seneviratne, Nils Noren, Raiza Costa,13
148,"""Fancy vs Rustic""","July 27, 2017","Sunny Anderson, Katie Lee",Figs,Angie Berry X  Giuliano Matarese,"Ed Brown, Rohini Dey, Corby Kummer",Shrimp and Grits,Bobby Flay,Sunny Anderson, Katie Lee,Ed Brown, Rohini Dey, Corby Kummer,13
149,"""Bear-Ware""","August 3, 2017","Alex Guarnaschelli, Daphne Oz",Merguez sausage,Hal Holden-Bache X  Derek Orrell,"Jason Debriere, Claudia Fleming, Craig Samuel",Oysters Rockefeller,Bobby Flay,Alex Guarnaschelli, Daphne Oz,Jason Debriere, Claudia Fleming, Craig Samuel,13
150,"""Green, White and Red""","August 10, 2017","Anne Burrell, Scott Conant",Turbot,Raffaele Ronca X  Ken Vedrinski,"Frank Prisinzano, Kristin Sollenne, Dan Pashman",Gnudi,Ken Vedrinski,Anne Burrell, Scott Conant,Frank Prisinzano, Kristin Sollenne, Dan Pashman,13
151,"""Chop Chop""","August 17, 2017","Amanda Freitag, Jet Tila",Gruyere Cheese,Fabio Mura X  Nicole Votano,"Glenn Harris, Michele Ragussis, Joe Isidori",Breakfast Sandwich,Bobby Flay,Amanda Freitag, Jet Tila,Glenn Harris, Michele Ragussis, Joe Isidori,13
152,"""Familiar Names and Faces""","August 24, 2017","Ted Allen, Sunny Anderson",Coconut Milk,Stephen Kalt X  Brad Spence,"Lex Taylor, Raquel Pelzel, Nguyen Tran",Patty Melt,Stephen Kalt,Ted Allen, Sunny Anderson,Lex Taylor, Raquel Pelzel, Nguyen Tran,13
153,"""International Showdown""","August 31, 2017","Katie Lee, Marcus Samuelsson",Green Beans,Alida Solomon X  Pasquale Cozzolino,"Lauren Hirschberg, Barbara Lynch, Rich Aronovitch",White Clams Pizza,Bobby Flay,Katie Lee, Marcus Samuelsson,Lauren Hirschberg, Barbara Lynch, Rich Aronovitch,13
154,"""Feathered and Fried""","September 7, 2017","Anne Burrell, Marc Murphy",Rabbit Legs,Thomas Boemer X  Darnell Ferguson,"Melba Wilson, Daniel Delaney, Sarah Simmons",Fried Chicken,Bobby Flay,Anne Burrell, Marc Murphy,Melba Wilson, Daniel Delaney, Sarah Simmons,13
155,"""Pulling Out All the Stops""","September 14, 2017","Steve Schirripa, Simon Majumdar",White Anchovies,Dave Bazirgan X  Stephen Jones,"Stephen Starr, Susan Povich, Jean-Paul Bourgeois",Hoppin' John,Stephen Jones,Steve Schirripa, Simon Majumdar,Stephen Starr, Susan Povich, Jean-Paul Bourgeois,13
156,"""Number One Baby""","September 21, 2017","Scott Conant, Laura Vitale",Tri-Tip Of Beef,Nicolas Bour X  RJ Moody,"Tom Birchard, Leah Cohen, Roberto Trevino",Salt Cod Fritters,Bobby Flay,Scott Conant, Laura Vitale,Tom Birchard, Leah Cohen, Roberto Trevino,13
157,"""Drop the Knife""","September 28, 2017","Colin Quinn, Katie Lee",Collard Greens,Diane Vista-Wayne X  Lauren Brown,"Angie Mar, Ed Mcfarland, Ariane Daguin",Savory Souffle,Lauren Brown,Colin Quinn, Katie Lee,Angie Mar, Ed Mcfarland, Ariane Daguin,13
158,"""Boil and Trouble""","October 5, 2017","Giada De Laurentiis, Daphne Oz",Pumpkin Seeds,Jeffrey Hansell X  Meghann Ward,"Wylie Dufresne, Alon Shaya, Dale Talde",Frog Legs,Bobby Flay,Giada De Laurentiis, Daphne Oz,Wylie Dufresne, Alon Shaya, Dale Talde,13
159,"""We're All Family Here""","October 12, 2017","Sophie Flay, Alton Brown",Tomatillos,Jonathan Waxman X  Dean Fearing,"Marc Vetri, Lourdes Castro, Christian Petroni",Tagliatelle,Bobby Flay,Sophie Flay, Alton Brown,Marc Vetri, Lourdes Castro, Christian Petroni,13
160,"""Feeling Bleu""","October 19, 2017","Alex Guarnaschelli, Bobby Moynihan",Halloumi Cheese,Marcellus Coleman X  Lionel Haeberle,"Raquel Pelzel, Madison Cowan, Keri Glassman",Chicken Cordon Bleu,Lionel Haeberle,Alex Guarnaschelli, Bobby Moynihan,Raquel Pelzel, Madison Cowan, Keri Glassman,14
161,"""Take a Bao""","October 26, 2017","David Alan Grier, Carla Hall",Black Cod,Suchanan Aksornnan X  Richard Hales,"Cobi Levy, Angie Mar, Wilson Tang",Pork Bun,Bobby Flay,David Alan Grier, Carla Hall,Cobi Levy, Angie Mar, Wilson Tang,14
162,"""Ain't That Dandy""","November 2, 2017","Katie Lee, Ben Feldman",Pork Chops,Jason Dady X  Mike DeCamp,"Drew Crane, Dale Talde, Marco Canora",Poke,Bobby Flay,Katie Lee, Ben Feldman,Drew Crane, Dale Talde, Marco Canora,14
163,"""The Iron Age""","November 9, 2017","Alex Guarnaschelli, Simon Majumdar",Onions,Jose Garces X  Stephanie Izard,"Donatella Arpaia, Madison Cowan, Susan Ungaro",Seafood Paella,Bobby Flay,Alex Guarnaschelli, Simon Majumdar,Donatella Arpaia, Madison Cowan, Susan Ungaro,14
164,"""Turkey's Done""","November 16, 2017","Sunny Anderson, Sophie Flay",Turkey Cutlets,Clayton Chapman X  Tony Priolo,"Brian Mazza, Einat Admony, Ronnie Woo",Pumpkin Ravioli,Tony Priolo,Sunny Anderson, Sophie Flay,Brian Mazza, Einat Admony, Ronnie Woo,14
165,"""Sea Shells by the Sea Shore""","November 23, 2017","Marcus Samuelsson, Michael Voltaggio",Sea Urchin,Ed Harris X  Jason McLeod,"Michael Schulson, Abigail Hitchcock, Alain Allegretti",Coquilles St.-Jacques,Bobby Flay,Marcus Samuelsson, Michael Voltaggio,Michael Schulson, Abigail Hitchcock, Alain Allegretti,14
166,"""Rotten Tomatoes for Bobby""","November 30, 2017","Scott Conant, Helene Yorke",Green Tomatoes,Andre Fowles X  Darren Sayphraraj,"Ed Schoenfeld, Aliya Leekong, Nigel Spence",Hot And Sour Soup,Darren Sayphraraj,Scott Conant, Helene Yorke,Ed Schoenfeld, Aliya Leekong, Nigel Spence,14
167,"""Holidays Are for Battle""","December 7, 2017","Alex Guarnaschelli, Tia Mowry",Cornish Game Hens,Simone Falco X  Eoghain O'Neill,"Ariane Daguin, Frank Prisinzano, Jackie Gebel",Ossobuco,Simone Falco,Alex Guarnaschelli, Tia Mowry,Ariane Daguin, Frank Prisinzano, Jackie Gebel,14
168,"""Cracking a Win""","December 14, 2017","Anne Burrell, Andrew Zimmern",Soft Shell Crabs,David Baruthio X  Blake Hartwick,"Michael Lomonaco, Ali Rosen, Daniel Eddy",Scotch Egg,Bobby Flay,Anne Burrell, Andrew Zimmern,Michael Lomonaco, Ali Rosen, Daniel Eddy,14
169,"""Who Done It?""","January 4, 2018","Lorraine Pascale, Damaris Phillips",Prosecco,Jeremy Fogg X  Andrea Bergin,"Paulette Goto, Zac Young, Marcy Blum",Ice Cream Sandwich,Jeremy Fogg,Lorraine Pascale, Damaris Phillips,Paulette Goto, Zac Young, Marcy Blum,14
170,"""Clamming Up""","January 11, 2018","Amanda Freitag, Geoffrey Zakarian",Cockles,Kiran Patnam X  Jonathan Wu,"Tricia Williams, Jehangir Mehta, Tracy Jane Young",Butter Chicken Masala,Kiran Patnam[15],Amanda Freitag, Geoffrey Zakarian,Tricia Williams, Jehangir Mehta, Tracy Jane Young,14
171,"""Midwest Swing""","January 18, 2018","Katie Lee, Daphne Oz",Hake,Daniel Angerer X  Mike Johnson,"Andrew Friedman, Lucinda Scala Quinn, Hugh Mangum",Barbecued Chicken,Bobby Flay,Katie Lee, Daphne Oz,Andrew Friedman, Lucinda Scala Quinn, Hugh Mangum,14
172,"""Peeling Away""","January 25, 2018","Ted Allen, Busy Philipps",Bananas,Amanda Rockman X  Vicki Wells,"Nils Norén, Raiza Costa, Scott Levine",Tiramisu,Amanda Rockman,Ted Allen, Busy Philipps,Nils Norén, Raiza Costa, Scott Levine,14
173,"""Big Dog on the Block""","December 21, 2017",Sunny Anderson,Ostrich Egg,Harold Baker X  Tony Minadakis,"Craig Samuel, Kardea Brown, Matt FX",Ginormous Seafood Sandwich,Bobby Flay,Sunny Anderson,,Craig Samuel, Kardea Brown, Matt FX,15
174,"""Windy City Wants More""","December 28, 2017","Scott Conant, Hannah Hart",Purple Potatoes,David Adjey X  Cory Morris,"Billy Durney, Lourdes Castro, Isaac Toups",Ropa Vieja,Cory Morris,Scott Conant, Hannah Hart,Billy Durney, Lourdes Castro, Isaac Toups,15
175,"""Bobby Gets Sacked""","February 1, 2018","Eddie Jackson, Jaymee Sire",Bratwurst,Paul Malvone X  Jack Riebel,"Jeremy Ford, Melba Wilson, Robbie Shoults",Jucy Lucy,Bobby Flay,Eddie Jackson, Jaymee Sire,Jeremy Ford, Melba Wilson, Robbie Shoults,15
176,"""Broken Hearts""","February 8, 2018","Anne Burrell, Scott Conant",Maraschino cherry,Robert Nieto X  Caroline Schiff,"Jacques Torres, Samantha Seneviratne, Alan Rosen",Chocolate tart,Bobby Flay,Anne Burrell, Scott Conant,Jacques Torres, Samantha Seneviratne, Alan Rosen,15
177,"""Going Loco""","February 15, 2018","Eddie Jackson, Damaris Phillips",Shishito Peppers,Mike Andrzejewski X  Anthony Nelson,"Chung Chow, Nicole Ponseca, Corby Kummer",Loco moco,Mike Andrzejewski,Eddie Jackson, Damaris Phillips,Chung Chow, Nicole Ponseca, Corby Kummer,15
178,"""Sour With The Sweet""","February 22, 2018","Sunny Anderson, Josh Capon",Cowboy Rib eye steak,Robert Cho X  Brian Malarkey,"Leah Cohen, Rich Aronovitch, Dana Cowin",Monte Cristo sandwich,Bobby Flay,Sunny Anderson, Josh Capon,Leah Cohen, Rich Aronovitch, Dana Cowin,15
179,"""Stuffed and Fried""","March 1, 2018","Katie Lee, Jet Tila",Langoustine,Crista Luedtke X  Alan Vargas,"Brian Duffy, Ivy Stark, Akhtar Nawab",Chimichanga,Bobby Flay,Katie Lee, Jet Tila,Brian Duffy, Ivy Stark, Akhtar Nawab,15
180,"""At It Again""","March 8, 2018","Ted Allen, Marc Murphy",Squid Ink,Seis Kamimura X  Demetrio Zavala,"Michael Psilakis, Leah Cohen, Christian Petroni",Beef Bulgogi,Bobby Flay,Ted Allen, Marc Murphy,Michael Psilakis, Leah Cohen, Christian Petroni,15
181,"""Surf's Up""","March 15, 2018","Anne Burrell, Loni Love",Basil,Paras Shah X  Sheldon Simeon,"Bill Telepan, Nicole Ponseca, Roberto Treviño",Pork Adobo,Bobby Flay,Anne Burrell, Loni Love,Bill Telepan, Nicole Ponseca, Roberto Treviño,15
182,"""Revenge Is Best Served Bold""","March 22, 2018","Scott Conant, Laura Vitale",Zucchini,Leia Gaccione X  Tony Nguyen,"Glenn Harris, Rohini Dey, Hung Huynh",Brunch Burger,Bobby Flay,Scott Conant, Laura Vitale,Glenn Harris, Rohini Dey, Hung Huynh,15
